name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,throwback_logo
Air Force,ncaa,#003087,#8A8D8F,#B1B3B3,#FFC72C,MWC,Air Force,NA,Air Force Falcons,http://content.sportslogos.net/logos/30/595/thumbs/3pr1czgf0mqhfdqfv1mqrvfiq.gif,https://content.sportslogos.net/logos/30/595/thumbs/2742.gif
Akron Zips,ncaa,#041E42,#A89968,NA,NA,MAC,Akron,Zips,Akron Zips,http://content.sportslogos.net/logos/30/596/thumbs/59688302014.gif,
Alabama Crimson Tide,ncaa,#9E1B32,#828A8F,#FFFFFF,NA,SEC,Alabama,Crimson Tide,Alabama Crimson Tide,http://content.sportslogos.net/logos/30/597/thumbs/d8nqfhswwqiht1dc4y5p0dmeh.gif,https://content.sportslogos.net/logos/30/597/thumbs/7285.gif
Albany (NY),ncaa,#461660,#EEB211,NA,NA,Am. East,Albany,(NY),Albany Great Danes,http://content.sportslogos.net/logos/30/818/thumbs/81878742008.gif,
Appalachian State Mountaineers,ncaa,#222222,#FFCC00,NA,NA,Sunbelt,Appalachian State,Mountaineers,Appalachian State Mountaineers,http://content.sportslogos.net/logos/30/602/thumbs/60213682014.gif,
Arizona State Sun Devils,ncaa,#8C1D40,#FFC627,NA,NA,Pac 12,Arizona State,Sun Devils,Arizona State Sun Devils,http://content.sportslogos.net/logos/30/604/thumbs/60465632012.gif,
Arizona Wildcats,ncaa,#CC0033,#003366,NA,NA,Pac 12,Arizona,Wildcats,Arizona Wildcats,http://content.sportslogos.net/logos/30/603/thumbs/2416.gif,
Arkansas Razorbacks,ncaa,#9D2235,#FFFFFF,NA,NA,SEC,Arkansas,Razorbacks,Arkansas Razorbacks,http://content.sportslogos.net/logos/30/606/thumbs/60692202014.gif,
Arkansas State Red Wolves,ncaa,#CC092F,#000000,NA,NA,Sunbelt,Arkansas State,Red Wolves,Arkansas State Red Wolves,http://content.sportslogos.net/logos/30/605/thumbs/60588462008.gif,
Auburn Tigers,ncaa,#0C2340,#E87722,NA,NA,SEC,Auburn,Tigers,Auburn Tigers,http://content.sportslogos.net/logos/30/610/thumbs/61011451968.gif,
Ball State Cardinals,ncaa,#BA0C2F,#000000,NA,NA,MAC,Ball State,Cardinals,Ball State Cardinals,http://content.sportslogos.net/logos/30/612/thumbs/61273522015.gif,
Baylor Bears,ncaa,#003015,#FECB00,NA,NA,Big 12,Baylor,Bears,Baylor Bears,http://content.sportslogos.net/logos/30/613/thumbs/7369.gif,
Binghamton Bearcats,ncaa,#005A43,#169B62,#BF0D3E,#B1B3B3,Am. East,Binghamton,Bearcats,Binghamton Bearcats,http://content.sportslogos.net/logos/30/855/thumbs/en1hgarfy3007o2ex50cizx1p.gif,
Boise State Broncos,ncaa,#D64309,#0033A0,NA,NA,MWC,Boise State,Broncos,Boise State Broncos,http://content.sportslogos.net/logos/30/617/thumbs/61736902013.gif,
Boston College Eagles,ncaa,#98002E,#BC9B6A,NA,NA,ACC,Boston College,Eagles,Boston College Eagles,http://content.sportslogos.net/logos/30/618/thumbs/x17r48dtcnhsyveh1iyf7rzqc.gif,
Bowling Green,ncaa,#FE5000,#4F2C1D,#CDA077,#000000,MAC,Bowling Green,NA,Bowling Green Falcons,http://content.sportslogos.net/logos/30/620/thumbs/62081602016.gif,
Bradley Braves,ncaa,#A50000,#999999,NA,NA,MVC,Bradley,Braves,Bradley Braves,http://content.sportslogos.net/logos/30/621/thumbs/62140442012.gif,
